date,revenue,ARIMA_Predictions,Prophet_Predictions
2017-09-01,203560.78029999963,,
2017-10-01,264533.79460000014,,
2017-11-01,375191.4062,,
2017-12-01,385598.65830000007,,
2018-01-01,208699.98079999967,,
2018-02-01,207606.75069999963,,
2018-03-01,224224.73919999998,,
2018-04-01,219503.87089999986,,
2018-05-01,210569.31879999972,,
2018-06-01,213202.68899999958,,
2018-07-01,210433.7040999995,,
2018-08-01,220885.15739999956,,
2018-09-01,509576.9570999991,,
2018-10-01,620458.154299997,,
2018-11-01,803523.9643999973,,
2018-12-01,874356.761499999,,
2019-01-01,494318.47579999897,,
2019-02-01,499860.3920999992,,
2019-03-01,479234.1973999998,,
2019-04-01,492390.3783999994,,
2019-05-01,500492.31479999947,,
2019-06-01,482922.7802999993,,
2019-07-01,447065.19479999907,,
2019-08-01,437404.0722999987,,
2019-09-01,1143611.705000004,,
2019-10-01,1395192.985300006,,
2019-11-01,1944794.3698000032,,
2019-12-01,2065190.5686000038,,
2020-01-01,1116845.672600004,,
2020-02-01,1093463.5357000006,,
2020-03-01,153656.78599999938,,
2020-04-01,514097.58750000235,,
2020-05-01,646061.6205000017,,
2020-06-01,988088.2376999991,,
2020-07-01,1039190.1154999984,,
2020-08-01,1072723.9553000005,,
2020-09-01,1796300.5900000012,,
2020-10-01,2263105.8498,,
2020-11-01,3021085.1306999954,,
2020-12-01,3261302.7103999974,,
2021-01-01,1787227.0730999974,2462101.4487002003,1856144.1793918593
2021-02-01,1801834.9587000015,2420626.245077488,1352547.031778603
2021-03-01,1774798.7014999993,1438632.3530898995,2196195.939039821
2021-04-01,1808054.0738999965,1799073.1545899026,1688320.0557771442
2021-05-01,1792322.5416000024,1931037.187589902,1561251.95207986
2021-06-01,1736337.2782999985,2273063.8047898994,1400583.9936896772
2021-07-01,1792907.9246999996,2324165.682589899,1579269.3422861223
2021-08-01,1825893.2317999988,2357699.522389901,1846408.0500336422
2021-09-01,6747837.78590001,3081276.1570899016,2545649.8557471987
2021-10-01,8440107.100199992,3548081.4168899003,2738236.9231755636
2021-11-01,11589428.853600005,4306060.697789896,2999312.5202914476
2021-12-01,12358833.621899994,4546278.277489898,2921440.958505891
